,future
686,3625.0400390625
687,3582.8798828125
688,4065.199951171875
689,3924.969970703125
690,3905.949951171875
691,3631.0400390625
692,3630.699951171875
693,3792.39990234375
694,3682.840087890625
695,3926.070068359375
696,3892.35009765625
697,4200.669921875
698,4174.72998046875
699,4163.06982421875
700,4338.7099609375
701,4403.740234375
702,4409.31982421875
703,4317.47998046875
704,4229.35986328125
705,4328.41015625
706,4370.81005859375
707,4426.89013671875
708,4610.47998046875
709,4772.02001953125
710,4781.990234375
711,4826.47998046875
712,5446.91015625
713,5647.2099609375
714,5831.7900390625
715,5678.18994140625
716,5725.58984375
717,5605.509765625
718,5590.68994140625
719,5708.52001953125
720,6011.4501953125
721,6031.60009765625
722,6008.419921875
723,5930.31982421875
724,5526.64013671875
725,5750.7998046875
726,5904.830078125
727,5780.89990234375
728,5753.08984375
729,6153.85009765625
730,6130.52978515625
731,6468.39990234375
732,6767.31005859375
733,7078.5
734,7207.759765625
735,7379.9501953125
736,7407.41015625
737,7022.759765625
738,7144.3798828125
739,7459.68994140625
740,7143.580078125
741,6618.14013671875
742,6357.60009765625
743,5950.06982421875
744,6559.490234375
745,6635.75
746,7315.5400390625
747,7871.68994140625
748,7708.990234375
749,7790.14990234375
750,8036.490234375
751,8200.6396484375
752,8071.259765625
753,8253.5498046875
754,8038.77001953125
755,8253.6904296875
756,8790.919921875
757,9330.5498046875
758,9818.349609375
759,10058.7998046875
760,9888.6103515625
761,10233.599609375
762,10975.599609375
763,11074.599609375
764,11323.2001953125
765,11657.2001953125
766,11916.7001953125
767,14291.5
768,17899.69921875
769,16569.400390625
770,15178.2001953125
771,15455.400390625
772,16936.80078125
773,17415.400390625
774,16408.19921875
775,16564.0
776,17706.900390625
777,19497.400390625
778,19140.80078125
779,19114.19921875
780,17776.69921875
781,16624.599609375
782,15802.900390625
783,13831.7998046875
784,14699.2001953125
785,13925.7998046875
786,14026.599609375
787,16099.7998046875
788,15838.5
789,14606.5
790,14656.2001953125
791,12952.2001953125
792,14156.400390625
793,13657.2001953125
794,14982.099609375
795,15201.0
796,15599.2001953125
797,17429.5
798,17527.0
799,16477.599609375
800,15170.099609375
801,14595.400390625
802,14973.2998046875
803,13405.7998046875
804,13980.599609375
805,14360.2001953125
806,13772.0
807,13819.7998046875
808,11490.5
